uniqid,actual,predicted,correct,domain,confidence,reasoning
752051028,West,West,True,religion; family; political legitimacy,medium,"Low religious attendance, quite good family values, strong belief in democracy and political legitimacy."
826050282,West,East,False,family; political legitimacy,high,"High importance on family, low trust in political system, low tolerance for diversity."
643721769,East,East,True,family; religion,medium,"Low acceptance of diversity, strong traditional family values, low institutional confidence, moderate religious involvement."
804050587,East,West,False,family; political legitimacy,medium,High importance on family; moderate tolerance; lower importance of religion; moderate democracy perceptions.
31051429,East,East,True,family; political legitimacy,medium,"High importance on family, low tolerance for diversity, reliance on authority, limited political trust."
70050057,East,East,True,family; political legitimacy,medium,"Importance on family, low tolerance, limited trust in institutions, concerns about immigration, strong democratic beliefs."
100050124,East,East,True,family; political legitimacy,high,"Family important, acceptance of homosexuals low, satisfaction with political system high."
100050281,East,East,True,family; trust; political legitimacy,high,"High family importance, lower political satisfaction, moderate trust in people, religion is important."
616051287,East,West,False,family; political legitimacy,high,"High importance on family values, positive democratic perceptions, lower trust in institutions."
51720117,East,West,False,family | political legitimacy | trust,high,"Strong belief in democracy, high importance of family, high trust in people, less traditional views on gender."
804720389,East,East,True,family; political legitimacy,high,"Importance on family, low acceptance of homosexuals, support for state aid, trust in family."
756052929,West,East,False,family; trust,high,"High importance on family, low tolerance, low trust in institutions, low political engagement."
826070686,West,West,True,family; political legitimacy,high,"Family and friends important, favorable views on democracy, moderate institutional confidence, limited tolerance for diversity."
112051389,East,West,False,family; political legitimacy,medium,"High importance on family, low father traditional views, high democracy importance."
40050720,West,East,False,family; political legitimacy,medium,"Importance of family, moderate tolerance, traditional views on gender roles, support for strong governance."
703050773,East,East,True,family; political legitimacy; trust,medium,"Family is highly important, low confidence in institutions, low general trust in people."
276051759,West,East,False,family; political legitimacy,medium,"Family important, moderate acceptance of immigrants, low institutional confidence, democracy seen as essential."
428050012,East,East,True,family; trust,medium,"Importance of family, limited tolerance of diversity, low political action, moderate trust in institutions."
643050384,East,East,True,family; political legitimacy,high,"Family important, low tolerance for diverse sexual orientations, strong belief in familial duty."
203720682,East,East,True,family; political legitimacy,medium,"Importance of family, moderate religious belief, acceptance of traditional roles, low tolerance for diversity."
276050847,West,East,False,family; political legitimacy,high,"Emphasis on family values, low trust in institutions, limited tolerance for diversity."
112050769,East,East,True,family; political legitimacy,medium,"Low trust in political system, low importance of religion, high importance on family stability."
804051339,East,East,True,family; political legitimacy,medium,"Family is important, low acceptance of diversity, dissatisfaction with political system, average democracy perception."
51720087,East,East,True,family; political legitimacy,high,"Family is important, low trust in political institutions, high value on democracy and rights."
208050231,West,East,False,family; political legitimacy,medium,"Strong family values, low trust in institutions, high satisfaction with political system, low religiosity."
51051005,East,East,True,family; political legitimacy,high,"Family is very important, religious identity is low, limited tolerance towards diversity, low institutional trust."
208052760,West,East,False,family; political legitimacy,high,"Importance of family, low trust, limited acceptance of diversity, significant political discontent."
643720772,East,East,True,family; political legitimacy,medium,"High importance placed on family, lower tolerance levels, and strong beliefs in authority."
8050734,East,West,False,family; political legitimacy,medium,"Family is prioritized, lower trust, strong democratic beliefs, religion is not important, support for child responsibility."
703720348,East,West,False,family; trust,high,"Family important, high trust levels, strong democracy perceptions, religious identity low, tolerant towards neighbors."
804050716,East,East,True,family; trust,high,"Family important, low tolerance for diversity, moderate trust in people, emphasizes traditional values."
8050595,East,East,True,family; political legitimacy,high,"Family important, low tolerance for diversity, political skepticism, high religious attendance."
348051145,East,East,True,religion | political legitimacy,high,"High importance of religion, low satisfaction with political system, limited trust in institutions."
380051759,West,East,False,family; political legitimacy,high,"Family is very important, low tolerance for diversity, significant distrust in political institutions."
724051041,West,East,False,trust; family; political legitimacy,medium,"Low tolerance, low trust in institutions, importance of family, significant religion impact."
203720465,East,East,True,family; political legitimacy,high,"Family is very important, low trust in institutions, skepticism about democracy."
643720680,East,West,False,family | political legitimacy | trust,medium,"Values importance of family, accepts immigration, moderate political trust, low religious involvement."
276720518,West,West,True,family; political legitimacy,high,"High importance on family and political participation, moderate trust in institutions, acceptance of immigration."
703050528,East,East,True,family; political legitimacy,high,"Importance of family, low tolerance, strong gender roles, low political trust, dissatisfaction with democracy."
620050946,West,West,True,family; trust; political legitimacy,high,"High importance on family and friends, acceptance of homosexuals, high trust in people."
528721763,West,East,False,family; political legitimacy,high,"Family important, low acceptance of diversity, authoritarian views on gender roles, skepticism about democracy."
528720687,West,East,False,family | political legitimacy | trust,medium,"Family is important, low tolerance for differences, low trust in institutions, skepticism towards democracy."
528050231,West,East,False,family; political legitimacy,high,"Low importance of religion, low tolerance, high justifiable behaviors, moderate institutional confidence."
724051125,West,East,False,family; political legitimacy,high,"Family important, low confidence in institutions, support for political legitimacy, limited tolerance."
380050515,West,West,True,family | political legitimacy | trust,high,"Importance on family and friends, tolerant of diversity, high institutional trust, supports democracy."
620050878,West,East,False,family; trust,high,"Family important, low tolerance for diversity, high religious identity, lower trust in others."
642720133,East,West,False,family; political legitimacy; trust,high,"Importance of family, acceptance of various groups, high democracy perception, high institutional confidence."
642720411,East,East,True,family; political legitimacy,high,"Importance of family, low tolerance, limited support for democracy, acceptance of political authority."
51051461,East,West,False,family; political legitimacy,high,"Family important, acceptance of homosexuals, emphasis on democracy, high trust in institutions, religious belief."
705050965,East,East,True,family | trust,high,"Low importance of religion, low trust in institutions, high importance of family values."
642051385,East,East,True,family; political legitimacy,high,"Family very important, low tolerance for diversity, skepticism towards political institutions, high importance of religion."
112050258,East,East,True,family; political legitimacy,high,High importance on family; low trust in institutions; authoritarian views on political systems.
616051040,East,East,True,family; political legitimacy,high,"Low tolerance, traditional family views, high institutional confidence, high importance of religion."
528720411,West,West,True,family | political legitimacy | trust,high,"Importance of family, political legitimacy preference, limited tolerance, trust in family, low religious belief."
380052047,West,West,True,family; political legitimacy,medium,"Importance of family, trust in people, moderate political legitimacy values."
705050623,East,West,False,family; political legitimacy,high,"Importance of family, liberal child qualities, acceptance of neighbors, trust in institutions, high democracy importance."
380051467,West,West,True,family; political legitimacy,high,"Family and leisure important, low tolerance for diversity, moderate political engagement, limited trust in institutions."
643720936,East,East,True,family; political legitimacy,medium,"Important family values, low trust in institutions, moderate political action inclination."
