uniqid,model,actual,predicted,correct,domain,confidence,reasoning
703720348,glm-5,East,West,False,family; religion,high,"Atheist identity, high divorce acceptability, low tolerance for minorities, strong family importance."
804050716,glm-5,East,East,True,religion; family,high,"Religious identity, believes in God, low tolerance, traditional values on abortion and divorce."
8050595,glm-5,East,West,False,trust; religion,high,"High trust in strangers, low church attendance, pro-immigration, low obedience value."
348051145,glm-5,East,East,True,religion; family,high,"Weekly church attendance, God importance 10, rejects homosexuality, low tolerance for immigrants."
380051759,glm-5,West,West,True,religion; family,high,"Religious identity, high God importance, accepts homosexuality and abortion, low political trust."
724051041,glm-5,West,West,True,religion; family,high,"Low God importance, high homosexuality justifiability, rejects obedience, high social trust."
203720465,glm-5,East,West,False,religion; family,high,"Atheist, low God importance, high tolerance for homosexuality, abortion, divorce."
643720680,glm-5,East,West,False,religion; trust,medium,"Atheist, never attends religious services, low trust in institutions, accepts homosexuality."
276720518,glm-5,West,West,True,religion; family,high,"Low church attendance, religious identity, high God importance, supports euthanasia, homosexuality."
703050528,glm-5,East,West,False,political legitimacy; trust,high,"High democratic satisfaction, high general trust, rejects strong leader, egalitarian gender views."
620050946,glm-5,West,West,True,religion; family,high,"Atheist identity, high divorce acceptability, gender equality support, high democracy satisfaction."
528721763,glm-5,West,West,True,religion; family,high,"Atheist identity, never attends church, rejects traditional gender roles, low political participation."
528720687,glm-5,West,West,True,family; religion,high,"High tolerance for homosexuality, abortion, divorce; secular; low political participation."
528050231,glm-5,West,West,True,religion; family,high,"Atheist, never attends church, high tolerance for homosexuality, abortion, divorce."
724051125,glm-5,West,West,True,political legitimacy; authority and autonomy,high,"Rejects army takeover, supports free elections, high tolerance for homosexuality, abortion, euthanasia."
380050515,glm-5,West,West,True,trust; family,high,"High social trust, accepts homosexuals, never attends religious services, secular."
620050878,glm-5,West,West,True,religion; family,high,"Secular identity, high abortion and divorce acceptability, low tolerance for racial and sexual minorities."
642720133,glm-5,East,East,True,religion; political legitimacy,high,"Strong religious belief, prefers strong leader, low tolerance for moral issues."
642720411,glm-5,East,East,True,religion; family,high,"God importance 10, religious identity, low tolerance, rejects all justifiable behaviors."
51051461,glm-5,East,West,False,religion; family,high,"God importance 10, opposes homosexuality, abortion, euthanasia, supports gender equality."
705050965,glm-5,East,West,False,religion; family,high,"Atheist, never attends church, accepts homosexuality, abortion, divorce, low trust."
642051385,glm-5,East,East,True,religion; political legitimacy,high,"High God importance, low tolerance, prefers strong leader, low political satisfaction."
112050258,glm-5,East,East,True,religion; political legitimacy,high,"High God importance, low democracy rating, intolerant of immigrants and different race."
616051040,glm-5,East,West,False,religion; family,high,"Accepts homosexuality and abortion, rejects religious faith, low institutional confidence."
528720411,glm-5,West,West,True,religion; family,high,"Atheist, high tolerance for homosexuality, abortion, divorce, low gender traditionalism."
380052047,glm-5,West,West,True,trust; authority and autonomy,high,"High general trust, strong democratic values, high tolerance for homosexuality and abortion."
705050623,glm-5,East,West,False,religion; family,high,"Secular non-practicing, egalitarian gender views, high tolerance for homosexuality and abortion."
380051467,glm-5,West,West,True,religion; family,medium,"Religious weekly attendance, low tolerance for heavy drinkers and drug addicts, accepts homosexuality and abortion."
643720936,glm-5,East,East,True,religion; family,high,"Rejects homosexuality, prostitution, abortion, supports traditional gender roles, low general trust."
