uniqid,actual,predicted,reasoning,correct
826050282,West,West,"West — the combination of strong pro-democracy and gender-equality views, market- and competition-friendly economic attitudes, relatively low religiosity, and moderate individualism with high institutional trust aligns much more with typical Western European value patterns than Eastern European ones.",True
643721769,East,East,"East — relatively traditional, authoritarian-leaning, Orthodox, ethnically exclusive, economically right-leaning but state-skeptical attitudes fit the typical value profile of Eastern rather than Western Europe.",True
804050587,East,East,"East — strongly traditional on family roles, religion and death penalty while mixing moderate democracy support with low political participation and some welfare-statist views is a pattern more typical of Eastern than Western Europe in EVS data.",True
31051429,East,East,"East — strongly traditional gender norms, high religiosity, low happiness, low civic participation, and emphasis on obedience and family duties align more with typical Eastern European value patterns than Western ones.",True
70050057,East,East,"East — strong social conservatism on gender roles and homosexuality, high support for state responsibility and redistribution combined with low institutional trust and positive view of strong leaders/expert rule align more with typical Eastern European value patterns.",True
100050124,East,West,"West — very low religiosity combined with strong support for egalitarian, welfare‑oriented “democracy” and equal incomes, plus low political participation and moderate immigration views, aligns more with Western European value patterns than Eastern ones.",False
100050281,East,East,East — very high religiosity with Orthodox affiliation plus relatively traditional gender roles alongside tolerance for gays and immigrants is a pattern more typical of (post‑communist) Eastern Europe than of Western Europe.,True
616051287,East,East,"East — strongly traditional, religious, authority-accepting, work‑oriented views combined with low support for gay rights and high support for state welfare and army intervention align more with prevailing value profiles in Eastern than Western Europe.",True
51720117,East,East,"East — very traditional religious values, strong patriarchy, and authoritarian leanings (strong leader, low support for gender equality, homosexuality “never justifiable”, Orthodox, low generalized trust) match the typical Eastern European value profile more than Western.",True
804720389,East,East,"East — very high traditional religiosity, moral conservatism on sexuality/abortion/divorce, strong family-duty norms, and skepticism toward institutions with support for state equality and welfare align much more with typical Eastern European value patterns than Western ones.",True
756052929,West,West,"West — highly secular, very liberal on sexuality and gender, strongly pro-democratic and pro–civil rights, and relatively trusting toward institutions match typical Western European value patterns much more than Eastern ones.",True
826070686,West,West,"West — the combination of very liberal views on sexuality and personal autonomy, low religiosity, strong support for democracy and civil rights, and acceptance of immigrants aligns much more closely with Western than Eastern European value profiles.",True
112051389,East,East,"East — strongly traditional-authoritarian social views (e.g. death penalty “always justifiable”, homosexuality “never justifiable”, duty to have children, high obedience, strong leader preference) combined with Orthodox background and low institutional trust fit typical Eastern rather than Western European value patterns.",True
40050720,West,West,"West — the combination of high support for democracy and civil rights, gender equality, liberal views on abortion/divorce/euthanasia, and moderate religiosity with limited church attendance aligns more with typical Western European value patterns than Eastern ones.",True
703050773,East,East,"East — strong materialism, low social trust, high acceptance of corruption/benefit fraud, support for strong leaders and army intervention, and traditional gender views together form a value profile much more typical of Eastern than Western Europe.",True
276051759,West,West,"West — the combination of secular-but-believing orientation, strong support for liberal democratic norms and gender equality, moderate/positive view of homosexuality and euthanasia, and relatively high interpersonal trust aligns much more with typical Western European value patterns than Eastern European ones.",True
428050012,East,West,"West — strongly secular, pro-market, environmentally oriented views combined with relatively liberal stances on personal morality (euthanasia, abortion, casual sex) more closely match typical Western European value patterns.",False
643050384,East,East,"East — culturally conservative on gender roles, low religiosity but low tolerance for immigrants/racial and sexual minorities, high emphasis on order/authority, and preference for state over private ownership together align more with typical Eastern European value patterns.",True
203720682,East,West,"West — very high secularism and acceptance of personal moral freedoms (euthanasia, homosexuality, casual sex, divorce), combined with only moderate traditional family/gender attitudes and mixed egalitarianism, align more closely with typical Western European value profiles than Eastern European ones.",False
276050847,West,West,"West — extremely secular, very liberal on sexuality and family norms, strongly pro-gender equality and civil rights, and trusting of institutions and elections, which together align much more with typical Western than Eastern European value profiles.",True
112050769,East,East,"East — strong materialist priorities, high acceptance of authority and strong leaders, traditional gender roles, low generalized trust, and preference for job priority for nationals over immigrants together align more with the value profile typical of Eastern rather than Western Europe.",True
804051339,East,East,"East — socially conservative, materialist, authority-valuing attitudes with low tolerance for immigrants and homosexuality are much more characteristic of Eastern than Western European value patterns.",True
51720087,East,East,"East — strong religiosity and social conservatism (especially on gender roles, homosexuality, and emphasis on obedience and authority) combined with materialist priorities and high trust in church and strong leaders align more with typical Eastern European value profiles than Western ones.",True
208050231,West,West,"West — extremely secular, highly liberal on sexuality and family norms, and strongly pro-democratic, post-materialist attitudes align much more closely with typical Western European value patterns than Eastern European ones.",True
51051005,East,East,"East — the combination of strong traditional family/religious norms, very conservative gender and LGBT attitudes, pro‑equality/left‑economic views, low institutional trust, and Orthodox affiliation matches typical Eastern rather than Western European value profiles.",True
208052760,West,West,"West — high generalized trust, strong democratic and equality norms, and liberal views on issues like abortion and divorce align more with typical Western European value profiles than Eastern European ones.",True
643720772,East,East,"East — materialist priorities, strong support for state-led income equality and redistribution, relatively low trust, and conservative moral views together align more with typical Eastern European value patterns.",True
8050734,East,East,"East — strong traditionalism (work and children as duty, strict sexual morality, obedience/authority valued), economic nationalism on jobs, low generalized trust, and mixed but not strongly liberal views on gender and immigrants align more with typical Eastern European value patterns.",True
703720348,East,East,"East — strong emphasis on family duty, hard work, obedience to authority, economic equality and state redistribution, combined with low religiosity but restrictive views on sexuality and homosexuality, fits post‑communist Eastern European value patterns more than Western ones.",True
804050716,East,East,"East — strongly traditional, religious, authority-oriented, low-trust, and anti-immigrant / anti-LGBT attitudes together with support for state egalitarianism and scepticism toward markets align much more with typical Eastern European value profiles.",True
8050595,East,East,"East — the combination of strong emphasis on work-as-duty and authority, low generalized trust and tolerance (especially toward outgroups and homosexuality), and support for markets with low confidence in institutions aligns more with value patterns typical of Eastern Europe.",True
348051145,East,East,"East — the combination of very high religiosity and traditional family duties with strong anti-immigrant and anti-homosexual attitudes, plus materialist priorities like fighting prices and order, is more typical of Eastern than Western European value profiles.",True
380051759,West,West,"West — high religiosity combined with strong support for liberal democracy, moderate gender equality, and mid-level tolerance on sexuality and immigration align more with Western than Eastern European value patterns.",True
724051041,West,West,West — very liberal views on homosexuality/abortion/euthanasia and strong support for civil-rights-based democracy with relatively high generalized trust are much more typical of Western than Eastern Europe.,True
203720465,East,West,"West — the combination of strong secularism, high acceptance of homosexuality/abortion/divorce/casual sex, relatively individualist attitudes, and mixed-but-not-authoritarian views on democracy and markets aligns more with Western than Eastern European value patterns.",False
643720680,East,East,"East — relatively low religiosity but Orthodox background, strong traditional gender roles, high acceptance of state authority and strong leaders, and mixed but generally less liberal stances on democracy and social issues align more with typical Eastern European value profiles.",True
276720518,West,West,"West — highly post-materialist, politically engaged, pro-environment, pro-euthanasia/suicide and generally liberal on many moral issues, combined with strong democratic values and only moderate religiosity in practice, fits the typical Western rather than Eastern European value profile.",True
703050528,East,East,"East — strongly traditionalist, authority‑oriented, ethnically exclusive and anti‑LGBT attitudes combined with high support for strong leaders and weekly church attendance align much more with value profiles typical of Eastern than Western Europe.",True
620050946,West,West,"West — secular, liberal attitudes on sexuality and gender combined with high democratic satisfaction and relatively low religiosity align much more with typical Western European value patterns than Eastern European ones.",True
528721763,West,West,"West — the mix of relatively high life satisfaction, middling religiosity, moderate economic views, and only medium‑level emphasis on authority and traditional gender roles is more typical of Western than Eastern European value profiles.",True
528720687,West,West,"West — very liberal views on sexuality and family law, strong pro-democracy attitudes, moderate religiosity, and relatively high institutional trust together fit the dominant value profile of Western rather than Eastern Europe.",True
528050231,West,West,"West — extremely secular, highly permissive views on sexuality, support for gender equality and democracy, and weaker emphasis on work-as-duty align much more closely with typical Western European value patterns than Eastern European ones.",True
724051125,West,West,"West — the combination of extremely post-materialist, permissive views on sexuality and euthanasia, strong emphasis on civil liberties and democratic rights, and low religiosity aligns much more with Western than Eastern European value patterns.",True
380050515,West,West,"West — very liberal views on sexuality, low religiosity, strong generalized trust, and relatively high post-materialist leanings fit the West European value pattern more than the typically more traditional, religious, and low‑trust East European profile.",True
620050878,West,West,"West — high acceptance of abortion/divorce/euthanasia and homosexuality, low religiosity and strong pro-democratic attitudes with trust in fair elections align much more with typical Western European value patterns than Eastern ones.",True
642720133,East,East,"East — very high religiosity and moral traditionalism (family- and obedience-focused, strong rejection of abortion/divorce/homosexuality, high trust in churches, low civic activism) align much more with typical Eastern than Western European value profiles.",True
642720411,East,East,"East — strongly traditional religious views, authoritarian leanings (strong leader, greater respect for authority), low tolerance toward out‑groups, and emphasis on work duty and obedience align much more with typical Eastern than Western European value profiles.",True
51051461,East,East,"East — very high traditional religiosity, strong disapproval of homosexuality/abortion/divorce, Orthodox denomination, and statist economic views together match the typical Eastern rather than Western European value profile.",True
705050965,East,West,"West — strongly secular, highly permissive views on homosexuality/abortion/divorce, egalitarian views on gender, high support for redistributive/social-state aspects of democracy and membership in cultural/professional/sports groups align more with typical Western European value patterns than Eastern ones.",False
642051385,East,East,"East — strongly religious, socially conservative (especially on homosexuality and traditional ethics), materialist, pro–death penalty, low interpersonal trust and high emphasis on work and authority align much more with Eastern than Western European value patterns.",True
112050258,East,East,"East — strongly traditional, authoritarian, collectivist and economically egalitarian attitudes (very religious Orthodoxy, obedience, order, equal incomes, distrust of institutions, low tolerance on many social issues) align much more with the typical Eastern European value profile than with Western European patterns.",True
616051040,East,West,"West — highly liberal views on homosexuality/abortion/divorce, strong pro-democracy and civil-rights orientation, and support for income inequality and competition together form a value pattern much more typical of Western than Eastern Europe, especially for an elderly respondent.",False
528720411,West,West,"West — extremely secular, very high acceptance of homosexuality/abortion/divorce/euthanasia, gender-egalitarian views, and strong support for liberal-democratic norms are much more characteristic of Western than Eastern Europe.",True
380052047,West,West,"West — the very liberal stances on sexuality/abortion/divorce, low religiosity but belief in democracy with strong welfare/equality expectations, and mixed-but-not-authoritarian views on gender and authority align much more with typical Western European value patterns than Eastern European ones.",True
705050623,East,West,"West — strongly post-materialist, very liberal on sexuality and family norms, pro-environment, secular yet tolerant, and supportive of gender equality and civil-liberties-centered democracy aligns much more with typical Western European value profiles than Eastern ones.",False
380051467,West,West,"West — the combination of strong democratic and civil-rights values, high acceptance of euthanasia/abortion/divorce, mixed-but-not-traditional gender attitudes, and relatively high interpersonal trust aligns much more closely with typical Western European value profiles than Eastern European ones.",True
643720936,East,East,"East — socially conservative, authority‑oriented, low generalized trust, strong familism and gender traditionalism together with high support for democracy and state role align much more with typical Eastern European value profiles than Western ones.",True
